address,status,street,borough,zip,cb,cwz,bbl
"60 HAVEN AVENUE,MANHATTAN 10032",OK,60 HAVEN AVENUE,MANHATTAN,10032,112,MN7,40.843494,,-73.942848,,1021390210
"141-29 84TH DRIVE,QUEENS 11435",OK,141-29 84 DRIVE,QUEENS,11435,408,QN3,40.710436,,-73.815898,,4097130150
"277 3RD AVENUE,BROOKLYN 11215",OK,277 3 AVENUE,BROOKLYN,11215,306,BK2,40.677464,,-73.986023,,3004480007
"2167 UNIVERSITY AVENUE,BRONX 10453",OK,2167 UNIVERSITY AVENUE,BRONX,10453,207,BX1,40.857975,,-73.909245,,2032170060
"77-14 ROOSEVELT AVENUE,QUEENS 11372",OK,77-14 ROOSEVELT AVENUE,QUEENS,11372,404,QN2,40.74715,,-73.888453,,4014880006
"143-30 Rose Avenue,QUEENS 11355",OK,143-30 ROSE AVENUE,QUEENS,11355,407,QN3,40.747826,,-73.81133,,:
"609 JACKSON AVENUE,BRONX 10455",OK,609 JACKSON AVENUE,BRONX,10455,201,BX1,40.814855,,-73.908502,,2026230211
"10510 FLATLANDS AVENUE,BROOKLYN 11236",OK,10510 FLATLANDS AVENUE,BROOKLYN,11236,318,BK3,40.647622,,-73.894522,,3082130038
"180 Livingston Street,BROOKLYN 11201",OK,180 LIVINGSTON STREET,BROOKLYN,11201,302,BK2,40.690052,,-73.986838,,3001647501
"55 WYONA AVENUE,STATEN ISLAND 10314",OK,55 WYONA AVENUE,STATEN IS,10314,501,SI1,40.610253,,-74.149074,,5015220001
"13-21 College Point Boulevard,QUEENS 11356",OK,13-21 COLLEGE POINT BOULEVARD,QUEENS,11356,407,QN3,40.786257,,-73.845718,,4039970013
"2739 BEDFORD AVENUE,BROOKLYN 11210",OK,2739 BEDFORD AVENUE,BROOKLYN,11210,314,BK5,40.636256,,-73.9535,,3052250002
"1163 LENOX ROAD,BROOKLYN 11212",OK,1163 LENOX ROAD,BROOKLYN,11212,317,BK3,40.659904,,-73.917664,,3046520040
"1083 ALLERTON AVENUE,BRONX 10469",OK,1083 ALLERTON AVENUE,BRONX,10469,211,BX2,40.865461,,-73.856406,,2045200060
"1218 PROSPECT AVENUE,BROOKLYN 11218",OK,1218 PROSPECT AVENUE,BROOKLYN,11218,307,BK2,40.653355,,-73.97621,,3052740009
"317 ROGERS AVENUE,BROOKLYN 11225",OK,317 ROGERS AVENUE,BROOKLYN,11225,309,BK3,40.665683,,-73.953667,,3012960001
"454 PENNSYLVANIA AVE,BROOKLYN 11207",OK,454 PENNSYLVANIA AVENUE,BROOKLYN,11207,305,BK3,40.666028,,-73.894381,,3038050029
"31-36 88 STREET,QUEENS 11369",OK,31-36 88 STREET,QUEENS,11369,403,QN2,40.759188,,-73.880354,,4013990023
"63-08 69 PLACE,QUEENS 11379",OK,63-08 69 PLACE,QUEENS,11379,405,QN2,40.716289,,-73.886585,,4030250020
"541 KNICKERBOCKER AVENUE,BROOKLYN 11221",OK,541 KNICKERBOCKER AVENUE,BROOKLYN,11221,304,BK1,40.697279,,-73.915641,,3033260001
"145-38 34  Avenue,QUEENS 11354",OK,145-38 34 AVENUE,QUEENS,11354,407,QN3,40.767138,,-73.821784,,4049957501
"1724-26 MADISON AVENUE,MANHATTAN 10029",OK,1724-26 MADISON AVENUE,MANHATTAN,10029,111,MN6,40.798496,,-73.94595,,1016180001
"816 CLARENCE AVE,BRONX 10465",OK,816 CLARENCE AVENUE,BRONX,10465,210,BX2,40.831747,,-73.816877,,2054790048
"2863 WEBSTER AVENUE,BRONX 10458",OK,2863 WEBSTER AVENUE,BRONX,10458,207,BX1,40.866931,,-73.884217,,2032790050
"83-38 CORNISH AVENUE,QUEENS 11373",OK,83-38 CORNISH AVENUE,QUEENS,11373,404,QN2,40.740398,,-73.880839,,4015447501
"3306 88TH ST,QUEENS 11372",OK,3306 88 STREET,QUEENS,11372,403,QN2,40.755941,,-73.879765,,4014350001
"389 SEAVER AVENUE,STATEN ISLAND 10305",OK,389 SEAVER AVENUE,STATEN IS,10305,502,SI1,40.581146,,-74.092474,,5036600038
"339 8TH STREET,BROOKLYN 11215",OK,339 8 STREET,BROOKLYN,11215,306,BK2,40.66896,,-73.984078,,3009990046
