year,borough,community_board,complaint_type,descriptors,status_cal,count,avg,avg,avg
2010,BRONX,204,Graffiti,Graffiti,Closed,531,,,63.5047080979284369
2010,BRONX,204,Graffiti,Graffiti,Open,4,4337.0000000000000000,,
2010,BRONX,204,Litter Basket Complaint,10 Litter Basket / Request,Closed,11,,,1.5454545454545455
2010,BRONX,204,Missed Collection,1 Missed Collection,Closed,27,,,0.92592592592592592593
2010,BRONX,204,Missed Collection,1C Uncollected Xmas Trees,Closed,1,,,0.00000000000000000000
2010,BRONX,204,Missed Collection,1R Missed Recycling-All Materials,Closed,8,,,0.12500000000000000000
2010,BRONX,204,Missed Collection,1RB Missed Recycling - M/G/Pl,Closed,1,,,1.00000000000000000000
2010,BRONX,204,Missed Collection,1RG Missed Recycling Paper,Closed,7,,,0.71428571428571428571
2010,BRONX,204,Missed Collection,2 Bulk-Missed Collection,Closed,8,,,1.00000000000000000000
2010,BRONX,204,Missed Collection,2R Bulk-Missed Recy Collection,Closed,1,,,1.00000000000000000000
2010,BRONX,204,Other Enforcement,E10 Obstruction (Street/Sidewalk),Closed,6,,,1.1666666666666667
2010,BRONX,204,Other Enforcement,E14 ASP/Restricted Parking,Closed,4,,,0.75000000000000000000
2010,BRONX,204,Other Enforcement,E2A Storage Of Receptacles,Closed,10,,,5.0000000000000000
2010,BRONX,204,Other Enforcement,E6 Commercial Waste Disposal,Closed,5,,,4.8000000000000000
2010,BRONX,204,Other Enforcement,ECR Commercial Routing Sticker,Closed,2,,,7.5000000000000000
2010,BRONX,204,Overflowing Litter Baskets,6 Overflowing Litter Baskets,Closed,12,,,0.83333333333333333333
2010,BRONX,204,Recycling Enforcement,ER1 Resident Recyc. (Owner/Manager,Closed,5,,,3.4000000000000000
2010,BRONX,204,Recycling Enforcement,ER2 Resident Recyc. (Tenant),Closed,1,,,7.0000000000000000
2010,BRONX,204,Recycling Enforcement,ER4 City Agency (Inst. Recycling),Closed,2,,,19.0000000000000000
2010,BRONX,204,Sanitation Condition,12 Dead Animals,Closed,79,,,0.91139240506329113924
2010,BRONX,204,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,Closed,107,,,1.1401869158878505
2010,BRONX,204,Sanitation Condition,15R Street Cond/Ref.W Door,Closed,1,,,1.00000000000000000000
2010,BRONX,204,Sanitation Condition,22 Weeds,Closed,4,,,1.7500000000000000
2010,BRONX,204,Sanitation Condition,9 Spill/Oil etc,Closed,1,,,1.00000000000000000000
2010,BRONX,204,snow,15I Street Condition Ice-Non Storm,Closed,5,,,0.20000000000000000000
2010,BRONX,204,snow,15S Re-Plow/Spread/Ice-Snow Cond.,Closed,14,,,0.50000000000000000000
2010,BRONX,204,snow,5 Un-Plowed/Spread Street,Closed,2,,,0.50000000000000000000
2010,BRONX,204,snow,E9 Snow / Icy Sidewalk,Closed,19,,,4.0526315789473684
2010,BRONX,204,Sweeping Complaint,3 Sweeping/Missed-Inadequate,Closed,6,,,0.83333333333333333333
2010,BRONX,204,Vacant Lot,8 Request to Clean Vacant Lot,Closed,19,,,25.5263157894736842
2010,BRONX,205,Derelict Vehicles,Derelict Vehicles,Closed,35,,,1.8571428571428571
2010,BRONX,205,Dirty Conditions,E1 Improper Disposal,Closed,16,,,3.7500000000000000
2010,BRONX,205,Dirty Conditions,E11 Litter Surveillance,Closed,8,,,5.0000000000000000
2010,BRONX,205,Dirty Conditions,E12 Illegal Dumping Surveillance,Closed,18,,,10.0555555555555556
2010,BRONX,205,Dirty Conditions,E15 Illegal Postering,Closed,277,,,2.9025270758122744
2010,BRONX,205,Dirty Conditions,E1A Litter Basket / Improper Use,Closed,2,,,1.5000000000000000
2010,BRONX,205,Dirty Conditions,E2 Receptacle Violation,Closed,8,,,1.2500000000000000
2010,BRONX,205,Dirty Conditions,E3 Dirty Sidewalk,Closed,14,,,3.7857142857142857
2010,BRONX,205,Dirty Conditions,E3A Dirty Area/Alleyway,Closed,32,,,4.3437500000000000
2010,BRONX,205,Dirty Conditions,"E4 18"" Law",Closed,3,,,2.3333333333333333
2010,BRONX,205,Dirty Conditions,E7 Private Carter Spillage,Closed,1,,,2.0000000000000000
2010,BRONX,205,Dirty Conditions,E8 Canine Violation,Closed,43,,,2.1627906976744186
2010,BRONX,205,Graffiti,Graffiti,Closed,659,,,165.4552352048558422
2010,BRONX,205,Graffiti,Graffiti,Open,14,4286.8571428571428571,-78.0000000000000000,
2010,BRONX,205,Litter Basket Complaint,10 Litter Basket / Request,Closed,22,,,1.00000000000000000000
2010,BRONX,205,Missed Collection,1 Missed Collection,Closed,15,,,1.0666666666666667
