year,borough,complaint_type,status_cal,count,avg,avg,avg
2011,STATEN ISLAND,Dirty Conditions,Closed,2328,,,6.5871993127147766
2011,STATEN ISLAND,Graffiti,Closed,212,,,52.9292452830188679
2011,STATEN ISLAND,Graffiti,Open,31,3910.4516129032258065,3839.4285714285714286,
2011,STATEN ISLAND,Litter Basket Complaint,Closed,224,,,2.9241071428571429
2011,STATEN ISLAND,Missed Collection,Closed,3619,,,2.9259463940315004
2011,STATEN ISLAND,Other Enforcement,Closed,382,,,3.6335078534031414
2011,STATEN ISLAND,Overflowing Litter Baskets,Closed,93,,,2.5161290322580645
2011,STATEN ISLAND,Recycling Enforcement,Closed,70,,,4.4428571428571429
2011,STATEN ISLAND,Sanitation Condition,Closed,2376,,,2.8350168350168350
2011,STATEN ISLAND,Sanitation Condition,Open,1,3792.0000000000000000,,
2011,STATEN ISLAND,snow,Closed,1710,,,7.0485380116959064
2011,STATEN ISLAND,Sweeping Complaint,Closed,16,,,4.2500000000000000
2011,STATEN ISLAND,Vacant Lot,Closed,237,,,15.2067510548523207
2011,STATEN ISLAND,Vacant Lot,Open,1,4082.0000000000000000,,
2011,Unspecified,Derelict Bicycle,Closed,1,,,1.00000000000000000000
2011,Unspecified,Dirty Conditions,Closed,75,,,7.4133333333333333
2011,Unspecified,Litter Basket Complaint,Closed,17,,,3.1176470588235294
2011,Unspecified,Missed Collection,Closed,8,,,3.7500000000000000
2011,Unspecified,Other Enforcement,Closed,5,,,4.4000000000000000
2011,Unspecified,Overflowing Litter Baskets,Closed,6,,,1.6666666666666667
2011,Unspecified,Sanitation Condition,Closed,148,,,2.6081081081081081
2011,Unspecified,snow,Closed,71,,,6.7887323943661972
2011,Unspecified,Sweeping Complaint,Closed,11,,,3.2727272727272727
2011,Unspecified,Vacant Lot,Closed,116,,,22.7327586206896552
2011,Unspecified,Vacant Lot,Open,3,3986.3333333333333333,,
2011,,Derelict Vehicles,Closed,320,,,2.0156250000000000
2012,BRONX,Adopt-A-Basket,Closed,3,,,2.0000000000000000
2012,BRONX,Collection Truck Noise,Closed,12,,,0.91666666666666666667
2012,BRONX,Derelict Bicycle,Closed,10,,,1.5000000000000000
2012,BRONX,Derelict Vehicles,Closed,1557,,,1.5343609505459216
2012,BRONX,Dirty Conditions,Closed,4313,,,3.0704845814977974
2012,BRONX,Graffiti,Closed,3221,,,40.1754113629307668
2012,BRONX,Graffiti,Open,689,3570.3526850507982583,3410.6754385964912281,
2012,BRONX,Litter Basket Complaint,Closed,230,,,1.4565217391304348
2012,BRONX,Litter Basket Complaint,Open,1,3725.0000000000000000,,
2012,BRONX,Missed Collection,Closed,978,,,1.1063394683026585
2012,BRONX,Other Enforcement,Closed,387,,,2.3514211886304910
2012,BRONX,Overflowing Litter Baskets,Closed,168,,,1.1369047619047619
2012,BRONX,Recycling Enforcement,Closed,74,,,2.9594594594594595
2012,BRONX,Sanitation Condition,Closed,2819,,,1.1543100390209294
2012,BRONX,snow,Closed,84,,,1.3928571428571429
2012,BRONX,Standpipe - Mechanical,Closed,2,,,1.5000000000000000
2012,BRONX,Sweeping Complaint,Closed,101,,,1.0396039603960396
2012,BRONX,Vacant Lot,Closed,250,,,31.1480000000000000
2012,BRONX,Vacant Lot,Open,1,3534.0000000000000000,,
2012,BROOKLYN,Adopt-A-Basket,Closed,14,,,5.0000000000000000
2012,BROOKLYN,Collection Truck Noise,Closed,43,,,1.2093023255813953
2012,BROOKLYN,Derelict Bicycle,Closed,337,,,2.1127596439169139
2012,BROOKLYN,Derelict Vehicles,Closed,3832,,,1.7606993736951983
2012,BROOKLYN,Dirty Conditions,Closed,11181,,,5.5058581522225203
2012,BROOKLYN,Graffiti,Closed,5635,,,65.2214729370008873
2012,BROOKLYN,Graffiti,Open,741,3578.5964912280701754,3498.0934065934065934,
2012,BROOKLYN,Litter Basket Complaint,Closed,757,,,2.1426684280052840
2012,BROOKLYN,Missed Collection,Closed,3753,,,1.4084732214228617
2012,BROOKLYN,Other Enforcement,Closed,1583,,,3.3682880606443462
2012,BROOKLYN,Overflowing Litter Baskets,Closed,342,,,1.2485380116959064
2012,BROOKLYN,Recycling Enforcement,Closed,299,,,5.4816053511705686
2012,BROOKLYN,Sanitation Condition,Closed,9367,,,1.6134301270417423
2012,BROOKLYN,Sanitation Condition,Open,1,3592.0000000000000000,,
2012,BROOKLYN,snow,Closed,118,,,3.0000000000000000
2012,BROOKLYN,Standpipe - Mechanical,Closed,1,,,0.00000000000000000000
2012,BROOKLYN,Sweeping Complaint,Closed,774,,,1.6020671834625323
2012,BROOKLYN,Vacant Lot,Closed,833,,,41.5810324129651861
2012,MANHATTAN,Adopt-A-Basket,Closed,9,,,1.4444444444444444
2012,MANHATTAN,Collection Truck Noise,Closed,68,,,1.3823529411764706
2012,MANHATTAN,Derelict Bicycle,Closed,410,,,1.5707317073170732
2012,MANHATTAN,Derelict Vehicles,Closed,303,,,1.6303630363036304
2012,MANHATTAN,Dirty Conditions,Closed,4347,,,4.0547504025764895
2012,MANHATTAN,Graffiti,Closed,2103,,,61.7579648121730861
2012,MANHATTAN,Graffiti,Open,147,3609.6054421768707483,3387.3611111111111111,
2012,MANHATTAN,Litter Basket Complaint,Closed,650,,,1.2784615384615385
2012,MANHATTAN,Missed Collection,Closed,1158,,,0.91537132987910189983
2012,MANHATTAN,Other Enforcement,Closed,1059,,,2.0047214353163362
2012,MANHATTAN,Overflowing Litter Baskets,Closed,212,,,0.87735849056603773585
2012,MANHATTAN,Recycling Enforcement,Closed,312,,,4.8141025641025641
2012,MANHATTAN,Sanitation Condition,Closed,2118,,,0.84560906515580736544
2012,MANHATTAN,snow,Closed,48,,,1.6041666666666667
2012,MANHATTAN,Sweeping Complaint,Closed,152,,,1.7763157894736842
2012,MANHATTAN,Vacant Lot,Closed,120,,,22.0000000000000000
2012,MANHATTAN,Vacant Lot,Open,9,3600.8888888888888889,,
2012,QUEENS,Adopt-A-Basket,Closed,13,,,2.0000000000000000
2012,QUEENS,Collection Truck Noise,Closed,46,,,2.3695652173913043
2012,QUEENS,Derelict Bicycle,Closed,55,,,2.6000000000000000
2012,QUEENS,Derelict Vehicles,Closed,3713,,,1.1042283867492594
2012,QUEENS,Dirty Conditions,Closed,11602,,,6.2026374762971901
2012,QUEENS,Dirty Conditions,Open,1,3426.0000000000000000,,
