year,complaint_type,count,avg,avg,avg
2017,Overflowing Recycling Baskets,22,,,1.7272727272727273
2017,Recycling Enforcement,843,1775.5000000000000000,,5.9690844233055886
2017,Request Large Bulky Item Collection,46614,,,3.8283348350281031
2017,Request Xmas Tree Collection,1301,,,1.7755572636433513
2017,Sanitation Condition,38937,1645.4000000000000000,,1.6578467387674365
2017,snow,11792,,,3.9260515603799186
2017,Sweeping Complaint,1303,1645.3181818181818182,,2.0952380952380952
2017,Vacant Lot,2304,1781.4000000000000000,,26.7429317094388865
2018,Adopt-A-Basket,41,1515.3333333333333333,,4.2894736842105263
2018,Collection Truck Noise,173,1245.3571428571428571,,2.2389937106918239
2018,Derelict Bicycle,2588,,,4.8288253477588872
2018,Derelict Vehicles,36478,,,1.3763090081693075
2018,Dirty Conditions,39022,1300.3809523809523810,,2.7091613035563191
2018,Electronics Waste,23175,1514.6590909090909091,,7.6477454498292335
2018,Graffiti,21006,1355.9368541905855339,1218.2093959731543624,98.6716128295856637
2018,Litter Basket Complaint,3251,1241.0000000000000000,,1.9845679012345679
2018,Missed Collection,40870,1240.6329113924050633,,2.5489446201367949
2018,Other Enforcement,8610,1247.7666666666666667,,3.0375291375291375
2018,Overflowing Litter Baskets,946,,,1.8382663847780127
2018,Overflowing Recycling Baskets,15,,,2.0000000000000000
2018,Recycling Enforcement,729,,,4.8106995884773663
2018,Request Large Bulky Item Collection,180183,,,4.0184590111164760
2018,Request Xmas Tree Collection,5,,,3.0000000000000000
2018,Sanitation Condition,43826,1242.0937500000000000,,1.8866511394254921
2018,snow,4593,,,3.0857827128238624
2018,Sweeping Complaint,1553,1240.4444444444444444,,2.7070773263433814
2018,Vacant Lot,2182,1351.9000000000000000,,49.0032228360957643
2019,Adopt-A-Basket,2,,,2.5000000000000000
2019,Collection Truck Noise,131,922.0000000000000000,,2.3620689655172414
2019,Derelict Bicycle,2246,,,4.2849510240427427
2019,Derelict Vehicles,32836,875.8275862068965517,,1.3908921876428811
2019,Dirty Conditions,28714,980.3478260869565217,,2.7196333344951378
2019,DSNY Spillage,2,,,4.5000000000000000
2019,Electronics Waste,18812,,,11.4434403572187965
2019,Employee Behavior,3,,,2.6666666666666667
2019,Foam Ban Enforcement,32,,,3.6562500000000000
2019,Graffiti,22289,966.1839260808926081,717.3717880085653105,149.5478161058418414
2019,Litter Basket Complaint,1333,922.0000000000000000,,1.8994708994708995
2019,Missed Collection,37440,1009.5896805896805897,,3.0470661302081927
2019,Other Enforcement,4062,921.4642857142857143,,2.7233515121467526
2019,Overflowing Litter Baskets,460,,,1.6608695652173913
2019,Overflowing Recycling Baskets,3,,,1.6666666666666667
2019,Recycling Enforcement,496,,,4.0927419354838710
2019,Request Large Bulky Item Collection,99538,,,3.6695533364142338
2019,Request Xmas Tree Collection,3,,,2.3333333333333333
2019,Sanitation Condition,21504,921.5806451612903226,,1.8031481395240535
2019,snow,1921,1158.0000000000000000,,2.3110995310057322
2019,Sweeping Complaint,464,921.3750000000000000,,2.9204545454545455
2019,Vacant Lot,860,1136.5000000000000000,,44.7500000000000000
2020,Abandoned Bike,3,,,356.6666666666666667
2020,Collection Truck Noise,2,,,2.5000000000000000
2020,Derelict Bicycle,1578,812.0000000000000000,,3.5998731769181991
2020,Derelict Vehicles,31165,837.3750000000000000,,1.5185542168674699
2020,Dirty Conditions,27847,736.8000000000000000,,17.6859061849005100
2020,DSNY Spillage,4,,,12.0000000000000000
2020,Employee Behavior,4,,,1.7500000000000000
2020,Graffiti,4668,797.4031007751937984,388.9682702149437052,561.7135769057284619
2020,Litter Basket Complaint,3,,,2.6666666666666667
2020,Missed Collection,41236,574.0000000000000000,,5.1335030920334667
2020,Other Enforcement,914,,,17.8741794310722101
2020,Overflowing Litter Baskets,10,,,1.7000000000000000
2020,Recycling Enforcement,240,688.3333333333333333,,15.3924050632911392
2020,Sanitation Condition,2725,,,3.2605504587155963
2020,snow,3955,502.5661218424962853,,4.5673369896404631
2020,Sweeping Complaint,3,,,3.6666666666666667
2020,Vacant Lot,86,628.7777777777777778,,48.8701298701298701
2021,Abandoned Bike,532,225.0000000000000000,,23.4490566037735849
2021,Adopt-A-Basket,1,,,1.00000000000000000000
2021,Change Collection Schedule,1,,,1.00000000000000000000
2021,Collection Truck Noise,1,,,1.00000000000000000000
2021,Commercial Disposal Complaint,165,,,6.5575757575757576
2021,Dead Animal,2754,,,6.1278140885984023
2021,Derelict Bicycle,1315,317.6250000000000000,,-29.5450346420323326
2021,Derelict Vehicles,42840,176.5900000000000000,,1.7954759660697455
2021,Dirty Conditions,45616,184.7846153846153846,,4.6759017365151149
2021,DSNY Internal,3,,,9.6666666666666667
