year,borough,community_board,complaint_type,status_cal,count,avg,avg,avg
2010,BRONX,210,Dirty Conditions,Closed,483,,,3.5093167701863354
2010,BRONX,210,Graffiti,Closed,301,,,53.5016611295681063
2010,BRONX,210,Graffiti,Open,13,4342.5384615384615385,62.0000000000000000,
2010,BRONX,210,Litter Basket Complaint,Closed,35,,,1.5714285714285714
2010,BRONX,210,Missed Collection,Closed,230,,,1.6000000000000000
2010,BRONX,210,Other Enforcement,Closed,39,,,2.2051282051282051
2010,BRONX,210,Overflowing Litter Baskets,Closed,4,,,0.50000000000000000000
2010,BRONX,210,Recycling Enforcement,Closed,18,,,5.5555555555555556
2010,BRONX,210,Sanitation Condition,Closed,316,,,1.4272151898734177
2010,BRONX,210,snow,Closed,95,,,4.7157894736842105
2010,BRONX,210,Vacant Lot,Closed,22,,,19.1818181818181818
2010,BRONX,210,Vacant Lot,Open,1,4317.0000000000000000,,
2010,BRONX,211,Collection Truck Noise,Closed,1,,,0.00000000000000000000
2010,BRONX,211,Derelict Vehicles,Closed,180,,,2.2777777777777778
2010,BRONX,211,Dirty Conditions,Closed,669,,,3.2645739910313901
2010,BRONX,211,Graffiti,Closed,351,,,67.7321937321937322
2010,BRONX,211,Graffiti,Open,14,4270.1428571428571429,63.0000000000000000,
2010,BRONX,211,Litter Basket Complaint,Closed,22,,,1.9545454545454545
2010,BRONX,211,Missed Collection,Closed,171,,,1.3976608187134503
2010,BRONX,211,Other Enforcement,Closed,47,,,3.5744680851063830
2010,BRONX,211,Overflowing Litter Baskets,Closed,3,,,0.66666666666666666667
2010,BRONX,211,Recycling Enforcement,Closed,11,,,2.8181818181818182
2010,BRONX,211,Sanitation Condition,Closed,360,,,1.6888888888888889
2010,BRONX,211,snow,Closed,217,,,2.8986175115207373
2010,BRONX,211,Sweeping Complaint,Closed,13,,,0.53846153846153846154
2010,BRONX,211,Vacant Lot,Closed,30,,,64.2000000000000000
2010,BRONX,212,Adopt-A-Basket,Closed,1,,,3.0000000000000000
2010,BRONX,212,Collection Truck Noise,Closed,1,,,1.00000000000000000000
2010,BRONX,212,Derelict Vehicles,Closed,458,,,1.8100436681222707
2010,BRONX,212,Dirty Conditions,Closed,1345,,,3.3085501858736059
2010,BRONX,212,Graffiti,Closed,282,,,55.6134751773049645
2010,BRONX,212,Graffiti,Open,5,4400.2000000000000000,62.0000000000000000,
2010,BRONX,212,Litter Basket Complaint,Closed,28,,,1.9642857142857143
2010,BRONX,212,Missed Collection,Closed,321,,,1.7694704049844237
2010,BRONX,212,Other Enforcement,Closed,46,,,2.9347826086956522
2010,BRONX,212,Overflowing Litter Baskets,Closed,43,,,1.4418604651162791
2010,BRONX,212,Recycling Enforcement,Closed,9,,,4.7777777777777778
2010,BRONX,212,Sanitation Condition,Closed,774,,,1.5490956072351421
2010,BRONX,212,snow,Closed,172,,,1.8662790697674419
2010,BRONX,212,Sweeping Complaint,Closed,15,,,1.6000000000000000
2010,BRONX,212,Vacant Lot,Closed,59,,,35.1186440677966102
2010,BRONX,228,Sanitation Condition,Closed,1,,,1.00000000000000000000
2010,BRONX,401,Derelict Vehicles,Closed,328,,,2.6189024390243902
2010,BRONX,,Derelict Vehicles,Closed,1,,,2.0000000000000000
2010,BRONX,,Graffiti,Closed,5,,,565.6000000000000000
2010,BRONX,,Graffiti,Open,17,4294.0588235294117647,,
2010,BROOKLYN,301,Collection Truck Noise,Closed,3,,,2.0000000000000000
2010,BROOKLYN,301,Derelict Bicycle,Closed,15,,,2.4000000000000000
2010,BROOKLYN,301,Derelict Vehicles,Closed,177,,,2.3785310734463277
2010,BROOKLYN,301,Dirty Conditions,Closed,572,,,5.4090909090909091
2010,BROOKLYN,301,Graffiti,Closed,1133,,,79.7828773168578994
2010,BROOKLYN,301,Graffiti,Open,17,4367.0588235294117647,1417.0000000000000000,
2010,BROOKLYN,301,Litter Basket Complaint,Closed,78,,,1.8846153846153846
2010,BROOKLYN,301,Missed Collection,Closed,543,,,1.9116022099447514
2010,BROOKLYN,301,Other Enforcement,Closed,151,,,4.3509933774834437
2010,BROOKLYN,301,Overflowing Litter Baskets,Closed,10,,,1.1000000000000000
2010,BROOKLYN,301,Recycling Enforcement,Closed,50,,,5.9200000000000000
2010,BROOKLYN,301,Sanitation Condition,Closed,711,,,2.1476793248945148
2010,BROOKLYN,301,snow,Closed,250,,,3.5760000000000000
2010,BROOKLYN,301,Sweeping Complaint,Closed,25,,,2.0400000000000000
2010,BROOKLYN,301,Vacant Lot,Closed,16,,,3.0000000000000000
2010,BROOKLYN,302,Collection Truck Noise,Closed,7,,,5.4285714285714286
2010,BROOKLYN,302,Derelict Bicycle,Closed,10,,,1.1000000000000000
2010,BROOKLYN,302,Derelict Vehicles,Closed,41,,,2.3658536585365854
2010,BROOKLYN,302,Dirty Conditions,Closed,377,,,5.1538461538461538
2010,BROOKLYN,302,Graffiti,Closed,253,,,85.2292490118577075
2010,BROOKLYN,302,Graffiti,Open,11,4325.5454545454545455,,
2010,BROOKLYN,302,Litter Basket Complaint,Closed,64,,,1.7656250000000000
2010,BROOKLYN,302,Missed Collection,Closed,229,,,1.4323144104803493
2010,BROOKLYN,302,Other Enforcement,Closed,128,,,4.6406250000000000
2010,BROOKLYN,302,Overflowing Litter Baskets,Closed,49,,,1.2448979591836735
2010,BROOKLYN,302,Recycling Enforcement,Closed,20,,,4.8000000000000000
