year,borough,community_board,count,avg,avg,avg
2016,BROOKLYN,304,2361,2151.2142857142857143,2051.6000000000000000,16.5104388581167448
2016,BROOKLYN,305,5068,2055.0000000000000000,1970.0000000000000000,5.8391691394658754
2016,BROOKLYN,306,4510,2090.3684210526315789,1948.1000000000000000,8.2019594745045647
2016,BROOKLYN,307,2387,2067.9310344827586207,1942.8750000000000000,26.2294317217981340
2016,BROOKLYN,308,2029,2099.8888888888888889,1987.3333333333333333,12.1658415841584158
2016,BROOKLYN,309,1430,2189.0000000000000000,2127.0000000000000000,12.2391304347826087
2016,BROOKLYN,310,2661,2105.5714285714285714,1972.3333333333333333,11.9785229841748304
2016,BROOKLYN,311,3094,2120.7000000000000000,2050.3125000000000000,10.2963565387117762
2016,BROOKLYN,312,4516,2078.2857142857142857,1988.9444444444444444,10.2545050055617353
2016,BROOKLYN,313,1145,2243.8333333333333333,2173.0000000000000000,8.3195785776997366
2016,BROOKLYN,314,2941,2128.5000000000000000,2003.0000000000000000,10.1957780047667688
2016,BROOKLYN,315,3666,2221.1666666666666667,2109.0000000000000000,9.1467213114754098
2016,BROOKLYN,316,1719,2193.5000000000000000,2070.5000000000000000,11.8417980151780502
2016,BROOKLYN,317,3775,2160.4285714285714286,2089.7500000000000000,5.0323779193205945
2016,BROOKLYN,318,6150,2106.6666666666666667,1916.8571428571428571,5.4772616136919315
2016,BROOKLYN,355,7,,,2.2857142857142857
2016,BROOKLYN,356,7,,,2.2857142857142857
2016,BROOKLYN,,243,2155.0989010989010989,1881.0000000000000000,68.6381578947368421
2016,MANHATTAN,101,538,2155.0000000000000000,2104.0000000000000000,12.4869402985074627
2016,MANHATTAN,102,2131,2108.6153846153846154,1997.7500000000000000,21.9664778092540132
2016,MANHATTAN,103,2728,2063.0400000000000000,1967.8461538461538462,53.5190529041805401
2016,MANHATTAN,104,2188,2119.0000000000000000,2039.7500000000000000,18.7279411764705882
2016,MANHATTAN,105,1256,1984.5000000000000000,1978.5000000000000000,18.4322169059011164
2016,MANHATTAN,106,991,2222.8333333333333333,2100.5000000000000000,17.2862944162436548
2016,MANHATTAN,107,1591,2100.3333333333333333,2042.0000000000000000,15.8916876574307305
2016,MANHATTAN,108,1958,2188.8333333333333333,1980.0000000000000000,21.2156762295081967
2016,MANHATTAN,109,746,,,32.9262734584450402
2016,MANHATTAN,110,1781,2061.5000000000000000,1905.7500000000000000,28.4325239977413890
2016,MANHATTAN,111,1100,2104.6666666666666667,1980.0000000000000000,33.9854147675478578
